show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,year_added,no_of_seasons
s2,TV Show,Blood & Water,Unknown director,Ama Qamata,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Ama Qamata,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Ama Qamata,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Khosi Ngema,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Khosi Ngema,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Khosi Ngema,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Gail Mabalane,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Gail Mabalane,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Gail Mabalane,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Thabang Molaba,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Thabang Molaba,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Thabang Molaba,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Dillon Windvogel,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Dillon Windvogel,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Dillon Windvogel,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Natasha Thahane,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Natasha Thahane,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Natasha Thahane,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Arno Greeff,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Arno Greeff,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Arno Greeff,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Xolile Tshabalala,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Xolile Tshabalala,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Xolile Tshabalala,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Getmore Sithole,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Getmore Sithole,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Getmore Sithole,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Cindy Mahlangu,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Cindy Mahlangu,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Cindy Mahlangu,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Ryle De Morny,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Ryle De Morny,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Ryle De Morny,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Greteli Fincham,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Greteli Fincham,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Greteli Fincham,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Sello Maake Ka-Ncube,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Sello Maake Ka-Ncube,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Sello Maake Ka-Ncube,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Odwa Gwanya,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Odwa Gwanya,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Odwa Gwanya,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Mekaila Mathys,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Mekaila Mathys,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Mekaila Mathys,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Sandi Schultz,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Sandi Schultz,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Sandi Schultz,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Duane Williams,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Duane Williams,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Duane Williams,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Shamilla Miller,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Shamilla Miller,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Shamilla Miller,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s2,TV Show,Blood & Water,Unknown director,Patrick Mofokeng,South Africa,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s2,TV Show,Blood & Water,Unknown director,Patrick Mofokeng,South Africa,2021-09-24,2021,TV-MA,TV Dramas,2021,2
s2,TV Show,Blood & Water,Unknown director,Patrick Mofokeng,South Africa,2021-09-24,2021,TV-MA,TV Mysteries,2021,2
s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Tracy Gotoas,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Tracy Gotoas,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Tracy Gotoas,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Samuel Jouy,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Samuel Jouy,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Samuel Jouy,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Nabiha Akkari,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Nabiha Akkari,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Nabiha Akkari,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Sofia Lesaffre,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Sofia Lesaffre,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Sofia Lesaffre,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Salim Kechiouche,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Salim Kechiouche,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Salim Kechiouche,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Noureddine Farihi,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Noureddine Farihi,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Noureddine Farihi,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Geert Van Rampelberg,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Geert Van Rampelberg,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Geert Van Rampelberg,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Bakary Diombera,Unknown,2021-09-24,2021,TV-MA,Crime TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Bakary Diombera,Unknown,2021-09-24,2021,TV-MA,International TV Shows,2021,1
s3,TV Show,Ganglands,Julien Leclercq,Bakary Diombera,Unknown,2021-09-24,2021,TV-MA,TV Action & Adventure,2021,1
s4,TV Show,Jailbirds New Orleans,Unknown director,Unknown actors,Unknown,2021-09-24,2021,TV-MA,Docuseries,2021,1
s4,TV Show,Jailbirds New Orleans,Unknown director,Unknown actors,Unknown,2021-09-24,2021,TV-MA,Reality TV,2021,1
s5,TV Show,Kota Factory,Unknown director,Mayur More,India,2021-09-24,2021,TV-MA,International TV Shows,2021,2
s5,TV Show,Kota Factory,Unknown director,Mayur More,India,2021-09-24,2021,TV-MA,Romantic TV Shows,2021,2
s5,TV Show,Kota Factory,Unknown director,Mayur More,India,2021-09-24,2021,TV-MA,TV Comedies,2021,2
